Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
roadway,50109522,no,yes,2021/4/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50113143,yes,no,2021/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50069734,yes,yes,2020/8/15,,,11,A,Queens,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Indian
sidewalk,50097413,yes,no,2020/8/15,,,7,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Hotdogs/Pretzels
roadway,50047872,no,yes,2020/8/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50104163,yes,yes,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,41642874,no,yes,2021/4/23,,,5,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
roadway,50062750,no,yes,2021/4/16,,,12,A,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Coffee/Tea
sidewalk,50105624,yes,no,2021/4/16,,,5,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Sandwiches/Salads/Mixed Buffet
both,50105624,yes,yes,2020/8/17,,,5,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Sandwiches/Salads/Mixed Buffet
